Date,City,Type,Low Price,High Price,Package,Grade,Variety,Color,Origin,Package_L,Avg Price
2017-04-29,BALTIMORE,,270.0,280.0,24 inch bins,0,9,1,3,845.7359999999999,275.0
2017-05-06,BALTIMORE,,270.0,280.0,24 inch bins,0,9,1,3,845.7359999999999,275.0
2016-09-24,BALTIMORE,,160.0,160.0,24 inch bins,0,4,0,8,845.7359999999999,160.0
2016-09-24,BALTIMORE,,160.0,160.0,24 inch bins,0,4,0,8,845.7359999999999,160.0
2016-11-05,BALTIMORE,,90.0,100.0,24 inch bins,0,4,0,3,845.7359999999999,95.0
2016-11-12,BALTIMORE,,90.0,100.0,24 inch bins,0,4,0,3,845.7359999999999,95.0
2016-09-24,BALTIMORE,,160.0,170.0,36 inch bins,0,4,0,3,1268.6039999999998,165.0
2016-09-24,BALTIMORE,,160.0,160.0,36 inch bins,0,4,0,9,1268.6039999999998,160.0
2016-10-01,BALTIMORE,,160.0,170.0,36 inch bins,0,4,0,3,1268.6039999999998,165.0
2016-10-01,BALTIMORE,,160.0,160.0,36 inch bins,0,4,0,9,1268.6039999999998,160.0
2016-10-08,BALTIMORE,,160.0,170.0,36 inch bins,0,4,0,3,1268.6039999999998,165.0
2016-10-08,BALTIMORE,,160.0,160.0,36 inch bins,0,4,0,9,1268.6039999999998,160.0
2016-10-15,BALTIMORE,,150.0,160.0,36 inch bins,0,4,0,3,1268.6039999999998,155.0
2016-10-15,BALTIMORE,,150.0,170.0,36 inch bins,0,4,0,3,1268.6039999999998,160.0
2016-10-22,BALTIMORE,,150.0,160.0,36 inch bins,0,4,0,3,1268.6039999999998,155.0
2016-10-22,BALTIMORE,,140.0,160.0,36 inch bins,0,4,0,3,1268.6039999999998,150.0
2016-10-29,BALTIMORE,,100.0,160.0,36 inch bins,0,4,0,3,1268.6039999999998,130.0
2016-10-29,BALTIMORE,,130.0,160.0,36 inch bins,0,4,0,3,1268.6039999999998,145.0
2016-10-29,BALTIMORE,,130.0,130.0,36 inch bins,0,4,0,3,1268.6039999999998,130.0
2016-11-05,BALTIMORE,,120.0,130.0,36 inch bins,0,4,0,3,1268.6039999999998,125.0
2016-11-05,BALTIMORE,,100.0,130.0,36 inch bins,0,4,0,3,1268.6039999999998,115.0
2016-11-05,BALTIMORE,,90.0,100.0,36 inch bins,0,4,0,3,1268.6039999999998,95.0
2016-11-12,BALTIMORE,,100.0,120.0,36 inch bins,0,4,0,3,1268.6039999999998,110.0
2017-09-16,BALTIMORE,,160.0,160.0,36 inch bins,0,4,0,3,1268.6039999999998,160.0
